age,education-num,sex,native-country,education,relationship,marital-status,race,workclass,hours-per-week,occupation,capital-gain,capital-loss,annual-income
0,1,Male,United-States,Assoc-voc,Own-child,Divorced,White,Private,0,Prof-specialty,0,0,<=50K
1,1,Female,United-States,Assoc-acdm,Own-child,Divorced,White,Private,0,Craft-repair,0,0,<=50K
1,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Private,0,Other-service,0,0,<=50K
0,0,Male,United-States,Some-college,Not-in-family,Never-married,White,Local-gov,1,Sales,0,0,<=50K
1,1,Male,United-States,Bachelors,Own-child,Divorced,White,Self-emp-not-inc,1,Exec-managerial,0,0,>50K
0,1,Male,Mexico,Masters,Husband,Married-civ-spouse,White,Private,0,Exec-managerial,0,0,>50K
1,0,Male,United-States,HS-grad,Own-child,Never-married,White,Private,1,Adm-clerical,0,0,<=50K
1,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Private,0,Sales,0,0,<=50K
1,0,Male,United-States,Some-college,Own-child,Divorced,White,Private,0,Craft-repair,0,0,<=50K
0,1,Female,United-States,Bachelors,Unmarried,Never-married,White,State-gov,1,Exec-managerial,1,0,>50K
0,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Local-gov,0,Transport-moving,0,0,<=50K
0,0,Male,United-States,7th-8th,Husband,Married-civ-spouse,White,State-gov,1,Transport-moving,0,0,<=50K
1,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Local-gov,1,Craft-repair,1,1,<=50K
1,0,Female,United-States,HS-grad,Not-in-family,Divorced,White,Private,0,Craft-repair,0,0,>50K
0,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,Black,Private,0,Transport-moving,1,0,>50K
0,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Private,0,Adm-clerical,0,0,<=50K
0,1,Female,United-States,Assoc-acdm,Not-in-family,Never-married,White,Private,0,Craft-repair,0,0,<=50K
0,1,Male,United-States,Bachelors,Not-in-family,Never-married,White,Private,0,Prof-specialty,1,0,<=50K
1,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Private,0,Exec-managerial,0,0,<=50K
0,0,Male,United-States,Some-college,Own-child,Never-married,White,Private,1,Sales,0,0,<=50K
0,0,Male,United-States,Some-college,Husband,Married-civ-spouse,White,Private,1,Adm-clerical,0,0,<=50K
1,1,Male,United-States,Bachelors,Husband,Married-civ-spouse,White,Self-emp-inc,1,Sales,0,0,<=50K
1,0,Male,United-States,HS-grad,Not-in-family,Divorced,White,Private,1,Exec-managerial,0,0,<=50K
1,1,Male,United-States,Bachelors,Not-in-family,Widowed,White,Self-emp-not-inc,1,Farming-fishing,0,1,>50K
1,0,Female,United-States,HS-grad,Unmarried,Widowed,White,Private,1,Adm-clerical,0,0,<=50K
1,0,Male,United-States,Some-college,Husband,Married-civ-spouse,White,Private,1,Sales,0,0,>50K
0,0,Female,United-States,HS-grad,Own-child,Never-married,White,Private,0,Transport-moving,0,0,<=50K
0,0,Male,United-States,Some-college,Husband,Married-civ-spouse,White,Private,1,Adm-clerical,0,0,<=50K
1,0,Male,United-States,Some-college,Own-child,Never-married,Black,Private,1,Other-service,0,0,>50K
0,1,Male,United-States,Bachelors,Own-child,Never-married,Black,Private,0,Exec-managerial,0,0,<=50K
1,0,Female,United-States,HS-grad,Not-in-family,Never-married,White,Private,0,Exec-managerial,1,0,<=50K
0,0,Female,United-States,HS-grad,Own-child,Never-married,White,Private,0,Farming-fishing,0,0,<=50K
0,0,Female,United-States,HS-grad,Unmarried,Divorced,Black,Private,0,Transport-moving,0,0,<=50K
0,1,Female,United-States,Bachelors,Other-relative,Never-married,White,Private,0,Exec-managerial,0,0,<=50K
0,0,Male,United-States,Some-college,Husband,Married-civ-spouse,Black,Private,0,Adm-clerical,0,0,<=50K
0,0,Male,United-States,Some-college,Husband,Married-civ-spouse,White,Private,0,Adm-clerical,0,0,<=50K
1,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,Black,Private,1,Craft-repair,0,0,<=50K
0,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Local-gov,0,Sales,0,0,<=50K
0,0,Male,United-States,5th-6th,Not-in-family,Divorced,White,Private,0,Farming-fishing,0,0,<=50K
0,1,Female,United-States,Masters,Not-in-family,Never-married,White,Private,0,Prof-specialty,0,0,<=50K
0,1,Female,United-States,Masters,Unmarried,Separated,White,Private,0,Prof-specialty,0,0,<=50K
1,0,Female,United-States,Some-college,Not-in-family,Never-married,White,Private,0,Exec-managerial,0,0,<=50K
1,0,Female,United-States,HS-grad,Wife,Married-civ-spouse,White,Private,0,Sales,0,0,<=50K
1,0,Female,United-States,Some-college,Unmarried,Divorced,White,Private,0,Transport-moving,0,0,<=50K
0,0,Male,United-States,Some-college,Own-child,Divorced,White,Private,0,Craft-repair,0,0,<=50K
1,0,Male,United-States,Some-college,Husband,Married-civ-spouse,White,Private,1,Adm-clerical,0,0,<=50K
1,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Private,0,Craft-repair,0,0,<=50K
0,0,Male,United-States,Some-college,Husband,Married-civ-spouse,White,Private,1,Adm-clerical,0,0,<=50K
1,0,Male,United-States,Some-college,Husband,Married-civ-spouse,White,Self-emp-inc,1,Exec-managerial,0,0,>50K
1,1,Female,United-States,Bachelors,Not-in-family,Divorced,White,Private,0,Prof-specialty,1,0,>50K
1,0,Male,United-States,HS-grad,Husband,Married-civ-spouse,White,Private,1,Other-service,0,0,<=50K
0,1,Male,United-States,Masters,Own-child,Never-married,Black,Private,0,Prof-specialty,0,0,<=50K
0,1,Male,United-States,Assoc-voc,Husband,Married-civ-spouse,White,Self-emp-not-inc,1,Adm-clerical,0,0,>50K
