age,occupation,sex,native-country,race,relationship,marital-status,capital-gain,capital-loss,education,education-num,workclass,hours-per-week,annual-income
1,Farming-fishing,Female,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,1,Private,0,<=50K
0,Prof-specialty,Female,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Self-emp-not-inc,0,<=50K
1,Exec-managerial,Female,United-States,Black,Husband,Married-civ-spouse,0,0,Masters,1,Private,1,<=50K
1,Craft-repair,Male,United-States,White,Not-in-family,Never-married,0,0,Some-college,0,Private,0,<=50K
1,Protective-serv,Male,United-States,White,Not-in-family,Never-married,0,0,HS-grad,0,State-gov,0,<=50K
0,Prof-specialty,Male,United-States,White,Husband,Married-civ-spouse,0,1,HS-grad,0,Private,1,<=50K
0,Prof-specialty,Female,United-States,White,Own-child,Never-married,0,0,Masters,0,Federal-gov,0,<=50K
0,Handlers-cleaners,Male,United-States,White,Wife,Married-civ-spouse,0,0,Assoc-acdm,0,Self-emp-inc,1,>50K
1,Sales,Female,United-States,White,Not-in-family,Never-married,0,0,Bachelors,0,Self-emp-inc,1,>50K
0,Craft-repair,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,<=50K
1,Other-service,Male,United-States,White,Own-child,Never-married,0,0,Some-college,0,Private,0,<=50K
1,Sales,Male,United-States,White,Not-in-family,Divorced,0,0,HS-grad,1,State-gov,0,<=50K
1,Machine-op-inspct,Female,United-States,White,Other-relative,Never-married,1,0,Bachelors,1,Private,0,<=50K
0,Exec-managerial,Female,United-States,White,Own-child,Never-married,0,0,Bachelors,0,Without-pay,0,<=50K
0,Prof-specialty,Female,United-States,White,Husband,Married-civ-spouse,0,0,Some-college,1,Federal-gov,0,<=50K
1,Prof-specialty,Female,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Self-emp-not-inc,0,<=50K
0,Sales,Male,United-States,White,Husband,Married-civ-spouse,0,0,12th,0,Private,0,<=50K
1,Other-service,Male,United-States,White,Not-in-family,Never-married,0,0,HS-grad,0,Private,0,<=50K
0,Machine-op-inspct,Male,United-States,White,Husband,Married-civ-spouse,0,0,Assoc-acdm,1,Private,0,<=50K
1,Other-service,Female,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,1,Private,0,>50K
1,Adm-clerical,Male,Mexico,White,Not-in-family,Never-married,0,0,HS-grad,0,Private,0,<=50K
1,Sales,Female,United-States,White,Husband,Married-civ-spouse,0,0,Assoc-voc,0,Without-pay,0,<=50K
1,Sales,Female,United-States,White,Wife,Married-civ-spouse,0,0,Some-college,0,Private,1,<=50K
0,Adm-clerical,Male,United-States,White,Not-in-family,Divorced,0,0,HS-grad,0,Private,0,>50K
0,Prof-specialty,Female,United-States,Black,Unmarried,Divorced,0,0,HS-grad,0,Private,0,<=50K
1,Exec-managerial,Male,United-States,White,Own-child,Married-civ-spouse,0,0,HS-grad,0,Self-emp-not-inc,0,<=50K
1,Handlers-cleaners,Male,United-States,White,Own-child,Separated,0,0,Some-college,0,Private,0,>50K
0,Prof-specialty,Male,United-States,White,Own-child,Never-married,0,0,HS-grad,1,Self-emp-inc,0,<=50K
1,Sales,Male,United-States,White,Not-in-family,Never-married,0,0,HS-grad,0,Private,0,>50K
0,Exec-managerial,Male,United-States,White,Husband,Married-civ-spouse,1,0,HS-grad,1,Federal-gov,0,>50K
0,Prof-specialty,Female,United-States,White,Not-in-family,Divorced,0,0,HS-grad,1,Private,0,<=50K
0,Sales,Female,United-States,White,Own-child,Never-married,0,0,Masters,1,Private,0,<=50K
0,Other-service,Female,United-States,White,Own-child,Never-married,0,0,HS-grad,0,Self-emp-not-inc,1,<=50K
0,Adm-clerical,Male,United-States,White,Unmarried,Divorced,0,0,Masters,1,Private,0,<=50K
1,Other-service,Male,United-States,White,Not-in-family,Divorced,0,0,HS-grad,0,Private,0,<=50K
0,Machine-op-inspct,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,1,Self-emp-inc,0,<=50K
1,Adm-clerical,Male,United-States,White,Not-in-family,Never-married,1,0,HS-grad,0,Private,0,<=50K
0,Adm-clerical,Male,United-States,White,Other-relative,Never-married,0,0,Bachelors,0,Local-gov,0,<=50K
1,Machine-op-inspct,Male,United-States,White,Not-in-family,Never-married,0,0,Some-college,0,Private,1,>50K
0,Other-service,Male,United-States,White,Husband,Married-civ-spouse,0,0,Some-college,0,Self-emp-not-inc,1,<=50K
0,Sales,Male,United-States,White,Not-in-family,Never-married,0,1,Bachelors,1,Private,1,>50K
1,Craft-repair,Male,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,0,Without-pay,0,<=50K
0,Craft-repair,Male,United-States,White,Own-child,Never-married,0,0,HS-grad,0,Self-emp-not-inc,0,<=50K
1,Craft-repair,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,>50K
1,Transport-moving,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,1,>50K
1,Craft-repair,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,<=50K
1,Exec-managerial,Male,United-States,White,Own-child,Never-married,0,0,Some-college,0,State-gov,0,>50K
0,Handlers-cleaners,Male,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,1,Private,0,<=50K
0,Exec-managerial,Male,United-States,White,Unmarried,Widowed,0,0,11th,0,Self-emp-inc,1,<=50K
0,Craft-repair,Female,United-States,Black,Not-in-family,Never-married,0,0,Assoc-voc,0,Private,1,<=50K
1,Craft-repair,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,<=50K
0,Prof-specialty,Male,Mexico,White,Husband,Married-civ-spouse,0,0,Bachelors,1,Private,0,>50K
1,Exec-managerial,Female,United-States,White,Own-child,Never-married,0,0,Some-college,1,Private,0,<=50K
1,Other-service,Female,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,0,Federal-gov,0,<=50K
1,Exec-managerial,Female,United-States,White,Own-child,Never-married,0,0,9th,0,Private,0,>50K
1,Prof-specialty,Female,United-States,White,Unmarried,Divorced,0,0,Some-college,0,Private,0,<=50K
1,Adm-clerical,Female,United-States,White,Husband,Married-civ-spouse,0,0,10th,1,Local-gov,0,<=50K
1,Exec-managerial,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,<=50K
1,Adm-clerical,Female,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,1,Without-pay,0,>50K
0,Craft-repair,Male,United-States,White,Not-in-family,Never-married,1,0,Some-college,1,Self-emp-not-inc,0,<=50K
0,Craft-repair,Female,United-States,White,Husband,Married-civ-spouse,0,0,Prof-school,0,Self-emp-not-inc,0,<=50K
0,Exec-managerial,Male,United-States,Black,Husband,Married-civ-spouse,0,0,11th,1,State-gov,0,<=50K
1,Craft-repair,Female,United-States,White,Husband,Married-civ-spouse,0,0,Some-college,0,Private,0,<=50K
1,Machine-op-inspct,Female,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,>50K
0,Sales,Male,United-States,White,Not-in-family,Never-married,0,0,Bachelors,0,Local-gov,1,<=50K
0,Handlers-cleaners,Male,United-States,White,Not-in-family,Never-married,0,0,Assoc-acdm,0,Without-pay,0,<=50K
0,Protective-serv,Male,United-States,White,Not-in-family,Never-married,0,0,HS-grad,0,Private,0,>50K
0,Other-service,Male,Mexico,White,Husband,Married-civ-spouse,0,0,Some-college,1,Private,1,<=50K
1,Adm-clerical,Female,United-States,White,Not-in-family,Never-married,0,0,HS-grad,1,State-gov,1,<=50K
1,Other-service,Male,United-States,White,Not-in-family,Never-married,0,0,Assoc-acdm,0,Local-gov,1,<=50K
1,Craft-repair,Male,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,0,Without-pay,1,>50K
1,Exec-managerial,Male,United-States,White,Not-in-family,Divorced,1,0,Some-college,1,Private,0,<=50K
0,Handlers-cleaners,Male,United-States,White,Own-child,Never-married,0,0,Some-college,0,Private,1,<=50K
1,Handlers-cleaners,Female,United-States,White,Wife,Married-civ-spouse,0,0,Some-college,1,Federal-gov,1,>50K
1,Tech-support,Male,United-States,White,Not-in-family,Divorced,0,0,Some-college,0,Private,1,>50K
0,Sales,Male,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,0,Federal-gov,0,<=50K
1,Adm-clerical,Female,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,<=50K
0,Exec-managerial,Male,United-States,White,Other-relative,Widowed,0,0,HS-grad,0,Private,0,<=50K
0,Exec-managerial,Male,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,0,Self-emp-inc,0,<=50K
1,Other-service,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,1,<=50K
1,Adm-clerical,Female,United-States,White,Husband,Married-civ-spouse,1,0,HS-grad,1,Local-gov,1,>50K
1,Exec-managerial,Female,United-States,White,Not-in-family,Never-married,0,0,Some-college,0,Private,0,<=50K
0,Prof-specialty,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,1,Without-pay,0,<=50K
1,Transport-moving,Male,United-States,White,Own-child,Never-married,0,0,Bachelors,0,Local-gov,0,>50K
1,Other-service,Male,United-States,White,Husband,Married-civ-spouse,1,0,Assoc-acdm,1,Local-gov,1,<=50K
1,Adm-clerical,Male,United-States,White,Unmarried,Never-married,0,0,HS-grad,0,Private,0,<=50K
0,Sales,Male,United-States,White,Not-in-family,Never-married,0,0,HS-grad,0,Private,0,<=50K
0,Sales,Male,United-States,White,Not-in-family,Never-married,0,0,Bachelors,0,Private,0,<=50K
0,Craft-repair,Male,United-States,White,Husband,Married-civ-spouse,0,0,10th,0,Self-emp-not-inc,1,<=50K
1,Prof-specialty,Female,United-States,White,Husband,Married-civ-spouse,1,0,Assoc-acdm,0,State-gov,0,<=50K
0,Sales,Male,United-States,White,Husband,Married-civ-spouse,0,0,Assoc-voc,1,Self-emp-inc,1,>50K
0,Tech-support,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,<=50K
1,Adm-clerical,Male,United-States,Black,Own-child,Never-married,0,1,Bachelors,0,Local-gov,0,<=50K
0,Handlers-cleaners,Female,United-States,White,Own-child,Never-married,0,0,Some-college,0,Private,0,<=50K
0,Other-service,Male,United-States,White,Husband,Married-civ-spouse,0,1,HS-grad,1,Without-pay,1,<=50K
0,Tech-support,Female,United-States,White,Other-relative,Divorced,0,0,Some-college,0,Private,0,<=50K
0,Craft-repair,Female,United-States,White,Husband,Married-civ-spouse,0,0,Masters,0,State-gov,1,<=50K
0,Other-service,Male,United-States,White,Wife,Married-civ-spouse,0,0,Assoc-acdm,0,Private,0,<=50K
0,Craft-repair,Male,United-States,White,Unmarried,Widowed,0,0,HS-grad,0,Private,0,<=50K
1,Handlers-cleaners,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,0,Private,0,<=50K
0,Other-service,Male,United-States,White,Husband,Married-civ-spouse,0,0,Some-college,0,Private,0,<=50K
0,Craft-repair,Male,United-States,Black,Not-in-family,Never-married,0,0,Assoc-voc,1,Private,0,<=50K
1,Exec-managerial,Male,United-States,White,Not-in-family,Divorced,1,0,Some-college,1,Private,1,<=50K
0,Adm-clerical,Female,United-States,White,Not-in-family,Divorced,0,0,10th,0,Private,0,<=50K
1,Handlers-cleaners,Male,United-States,White,Husband,Married-civ-spouse,0,0,HS-grad,1,Federal-gov,0,>50K
1,Machine-op-inspct,Male,United-States,White,Husband,Married-civ-spouse,1,0,Assoc-voc,0,State-gov,0,>50K
0,Adm-clerical,Male,United-States,White,Own-child,Never-married,0,0,Bachelors,1,Private,0,<=50K
1,Prof-specialty,Female,United-States,White,Own-child,Never-married,0,0,Some-college,0,Private,0,<=50K
0,Handlers-cleaners,Female,United-States,White,Husband,Married-civ-spouse,0,0,10th,0,Private,0,<=50K
1,Adm-clerical,Male,United-States,White,Husband,Married-civ-spouse,0,0,Bachelors,0,Local-gov,1,>50K
1,Other-service,Male,United-States,White,Husband,Married-civ-spouse,0,0,10th,0,Local-gov,0,<=50K
0,Adm-clerical,Female,United-States,Black,Not-in-family,Never-married,0,0,HS-grad,0,Private,0,<=50K
