age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,annual-income
1,State-gov,Bachelors,1,Never-married,Adm-clerical,Not-in-family,White,Male,1,0,0,United-States,<=50K
1,Self-emp-not-inc,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,HS-grad,0,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,0,United-States,<=50K
1,Private,11th,0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,0,United-States,<=50K
0,Private,Bachelors,1,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,0,Cuba,<=50K
0,Private,Masters,1,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0,United-States,<=50K
1,Private,9th,0,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,0,Jamaica,<=50K
1,Self-emp-not-inc,HS-grad,0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K
0,Private,Masters,1,Never-married,Prof-specialty,Not-in-family,White,Female,1,0,1,United-States,>50K
1,Private,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,0,United-States,>50K
0,Private,Some-college,0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,1,United-States,>50K
0,State-gov,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,0,India,>50K
0,Private,Bachelors,1,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
0,Private,Assoc-acdm,1,Never-married,Sales,Not-in-family,Black,Male,0,0,1,United-States,<=50K
0,Private,7th-8th,0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,1,Mexico,<=50K
0,Self-emp-not-inc,HS-grad,0,Never-married,Farming-fishing,Own-child,White,Male,0,0,0,United-States,<=50K
